"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"168455","AT 2024aedx","01:21:56.619","-19:55:59.66","","","","","ATLAS, ZTF","ATLAS, ZTF","","ATLAS; ZTF","ATLAS24rkw","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","","1","1","","18.704","orange-ATLAS","2024-12-17 02:45:16.128","ATLAS_Bot1","","","",""
"168452","AT 2024aedu","00:23:21.309","-02:28:37.25","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rkt","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.876","orange-ATLAS","2024-12-16 19:01:37.920","ATLAS_Bot1","","2024TNSTR4922....1T","",""
"168451","AT 2024aedt","01:51:34.183","+08:15:04.78","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rks","ATLAS-MLO - ATLAS-01","","1","1","","18.553","orange-ATLAS","2024-12-16 09:00:43.200","ATLAS_Bot1","","2024TNSTR4922....1T","",""
"168450","AT 2024aeds","16:46:58.880","+58:25:58.61","","","IC 1231","","","","","","","Other - Other","","1","1","","18","Clear-","2024-12-16 16:30:00.000","Villi","","2024TNSTR4926....1C","",""
"168449","AT 2024aedr","13:10:25.614","-15:56:18.80","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rkr","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.335","orange-ATLAS","2024-12-16 15:25:42.240","ATLAS_Bot1","","2024TNSTR4922....1T","",""
"168429","AT 2024aecx","11:05:49.552","-00:02:05.44","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rkq","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","","1","1","","14.543","orange-ATLAS","2024-12-16 13:22:23.808","ATLAS_Bot1","","2024TNSTR4922....1T","",""
"168423","AT 2024aecs","15:46:07.526","+04:27:31.28","","","","","ZTF","ZTF","","ZTF","ZTF24abybeze","P48 - ZTF-Cam","","1","1","","19.7693","r-ZTF","2024-12-15 13:30:14.999","Fritz","","2024TNSTR4931....1R","",""
"168421","AT 2024aecq","22:13:49.402","+37:01:39.22","","","MCG+06-48-020","0.021068","ALeRCE","ZTF","","ALeRCE","ZTF24abxyyul","P48 - ZTF-Cam","","1","1","","18.6491","r-ZTF","2024-12-16 03:21:19.999","ALeRCE","","2024TNSTR4921....1M","",""
"168419","AT 2024aecp","08:24:40.145","+41:02:58.67","","","","","ZTF","ZTF","","ZTF","ZTF24abyatmu","P48 - ZTF-Cam","","1","1","","19.1207","g-ZTF","2024-12-16 08:56:10.003","Fritz","","2024TNSTR4930....1S","",""
"168416","AT 2024aecn","21:46:50.247","-51:38:46.54","","","","","GOTO","GOTO","","GOTO","GOTO24jbo","GOTO-S - GOTO-4","","1","1","","18.25","L-GOTO","2024-12-16 10:09:55.584","GOTO_bot","","2024TNSTR4924....1O","",""
"168414","AT 2024aecl","07:12:53.875","-43:59:12.32","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24rko","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","18.467","orange-ATLAS","2024-12-16 04:50:28.608","ATLAS_Bot1","","2024TNSTR4922....1T","",""
"168412","AT 2024aecj","03:20:53.900","+41:47:30.81","","","","","ZTF","ZTF","","ZTF","ZTF24abxvulk","P48 - ZTF-Cam","","1","1","","18.0705","r-ZTF","2024-12-16 07:25:36.998","Fritz","","2024TNSTR4931....1R","",""
"168411","AT 2024aeci","03:03:05.151","+06:56:17.42","","","","","ZTF","ZTF","","ZTF","ZTF24abxzxts","P48 - ZTF-Cam","","1","1","","19.5118","g-ZTF","2024-12-16 05:55:17.999","Fritz","","2024TNSTR4930....1S","",""
"168392","AT 2024aebp","13:34:14.710","-06:45:15.38","","","WISEA J133414.63-064515.1","","ALeRCE","ZTF","","ALeRCE","ZTF24abxypwh","P48 - ZTF-Cam","","1","1","","19.0586","r-ZTF","2024-12-15 13:33:45.996","ALeRCE","","2024TNSTR4913....1F","",""
