"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"170107","AT 2024agjg","04:43:44.340","-15:19:27.11","","","","","ZTF","ZTF","","ZTF","ZTF24acaeuup","P48 - ZTF-Cam","","1","1","","19.3224","r-ZTF","2024-12-31 06:21:00.999","Fritz","","","","","",""
"170106","AT 2024agjf","03:22:25.877","+38:17:35.92","","","","","ZTF","ZTF","","ZTF","ZTF24acadbgk","P48 - ZTF-Cam","","1","1","","19.6024","r-ZTF","2024-12-31 03:38:40.997","Fritz","","","","","",""
"170105","AT 2024agje","13:09:20.879","+23:49:55.97","","","","","YSE","Pan-STARRS","","Pan-STARRS","PS24odw","PS1 - GPC1","","1","1","","20.92","r-P1","2024-12-31 15:42:10.656","YSE_Bot1","","","","","",""
"170077","AT 2024agij","12:41:48.940","+66:02:07.82","","","","","ZTF","ZTF","","ZTF","ZTF24acahbcm","P48 - ZTF-Cam","","1","1","","19.4096","g-ZTF","2024-12-31 09:20:13.004","Fritz","","","2025TNSTR...8....1S","","",""
"170072","AT 2024agie","10:47:55.046","-20:34:13.74","","","","","ZTF","ZTF","","ZTF","ZTF24acahdmj","P48 - ZTF-Cam","","1","1","","19.8998","r-ZTF","2024-12-31 09:36:40.003","Fritz","","","2025TNSTR...8....1S","","",""
"170058","AT 2024aghr","04:38:30.934","+16:00:44.42","","","","","ATLAS","ATLAS","","ATLAS","ATLAS25aai","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.045","orange-ATLAS","2024-12-31 09:16:51.744","ATLAS_Bot1","","","2025TNSTR...2....1T","","",""
"170038","AT 2024agha","08:00:20.473","+86:38:47.52","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24scw","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.155","orange-ATLAS","2024-12-31 15:34:44.832","ATLAS_Bot1","","","2025TNSTR...2....1T","","",""
"170037","AT 2024aggz","06:09:03.919","-24:07:32.86","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24scv","ATLAS-STH - ATLAS-03","","1","1","","19.146","cyan-ATLAS","2024-12-31 20:41:00.384","ATLAS_Bot1","","","2025TNSTR...2....1T","","",""
"170036","AT 2024aggy","12:53:51.161","+31:26:20.80","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24scp","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.605","orange-ATLAS","2024-12-31 14:50:15.936","ATLAS_Bot1","","","2025TNSTR...2....1T","","",""
"170034","AT 2024aggw","06:16:25.495","-35:12:37.31","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24scb","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","","1","1","","19.061","cyan-ATLAS","2024-12-31 01:10:36.192","ATLAS_Bot1","","","2024TNSTR5168....1T","","",""
"170033","AT 2024aggv","16:39:15.094","+38:47:42.64","","","SDSS J163915.09+384743.1","","ALeRCE","ZTF","","ZTF","ZTF24abyhmih","P48 - ZTF-Cam","","1","1","","19.8919","r-ZTF","2024-12-31 12:50:56.996","ALeRCE","","","2024TNSTR5167....1M","","",""
"170026","AT 2024aggo","17:01:02.922","+76:22:32.35","","","SDSS J170102.71+762236.5","","ALeRCE","ZTF","","ZTF","ZTF24abzwreb","P48 - ZTF-Cam","","1","1","","19.2972","r-ZTF","2024-12-31 12:53:00.997","ALeRCE","","","2024TNSTR5167....1M","","",""
"170025","AT 2024aggn","22:43:25.183","+54:21:44.49","","","","","ALeRCE","ZTF","","ZTF","ZTF24acaclrl","P48 - ZTF-Cam","","1","1","","20.0777","g-ZTF","2024-12-31 02:18:49.997","ALeRCE","","","2024TNSTR5167....1M","","",""
"170022","AT 2024aggk","02:14:50.998","+29:03:48.09","","","SDSS J021450.97+290348.0","","ALeRCE","ZTF","","ZTF","ZTF24acadeyn","P48 - ZTF-Cam","","1","1","","20.0308","r-ZTF","2024-12-31 03:57:03.004","ALeRCE","","","2024TNSTR5167....1M","","",""
"170021","AT 2024aggj","01:47:30.811","+68:55:45.07","","","WISEA J014730.41+685549.4","","ALeRCE","ZTF","","ZTF","ZTF24acadkzi","P48 - ZTF-Cam","","1","1","","19.9791","r-ZTF","2024-12-31 04:20:19.003","ALeRCE","","","2024TNSTR5167....1M","","",""
"170020","AT 2024aggi","02:30:08.128","+32:18:26.57","","","WISEA J023008.06+321825.7","","ALeRCE","ZTF","","ZTF","ZTF24acadyyl","P48 - ZTF-Cam","","1","1","","19.9522","r-ZTF","2024-12-31 04:46:08.000","ALeRCE","","","2024TNSTR5167....1M","","",""
"170019","AT 2024aggh","15:06:22.985","+47:05:25.68","","","SDSS J150623.15+470527.8","0.08809","ALeRCE","ZTF","","ZTF","ZTF24acahpvk","P48 - ZTF-Cam","","1","1","","19.4238","r-ZTF","2024-12-31 11:53:20.996","ALeRCE","","","2024TNSTR5167....1M","","",""
"170018","AT 2024aggg","11:25:48.262","-10:19:52.42","","","SDSS J112548.22-101953.4","","ALeRCE","ZTF","","ZTF","ZTF24acahruq","P48 - ZTF-Cam","","1","1","","19.117","g-ZTF","2024-12-31 11:23:54.004","ALeRCE","","","2024TNSTR5167....1M","","",""
"170017","AT 2024aggf","16:11:55.277","+61:23:34.51","","","SDSS J161155.38+612334.5","","ALeRCE","ZTF","","ZTF","ZTF24acahuab","P48 - ZTF-Cam","","1","1","","19.6152","g-ZTF","2024-12-31 12:23:59.001","ALeRCE","","","2024TNSTR5167....1M","","",""
"170016","AT 2024agge","14:35:24.948","+24:07:20.77","","","SDSS J143524.94+240720.3","","ALeRCE","ZTF","","ZTF","ZTF24acahubb","P48 - ZTF-Cam","","1","1","","20.0268","r-ZTF","2024-12-31 11:58:48.996","ALeRCE","","","2024TNSTR5167....1M","","",""
"170015","AT 2024aggd","14:21:55.255","+28:58:50.21","","","SDSS J142155.28+285850.1","","ALeRCE","ZTF","","ZTF","ZTF24acahubi","P48 - ZTF-Cam","","1","1","","20.0467","r-ZTF","2024-12-31 11:58:48.996","ALeRCE","","","2024TNSTR5167....1M","","",""
"170006","AT 2024agfu","05:00:13.668","-22:11:07.87","","","","","ATLAS, GOTO","ATLAS, GOTO","","ATLAS, GOTO","ATLAS24scc","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-S - GOTO-3, GOTO-S - GOTO-4","","1","1","","18.878","cyan-ATLAS","2024-12-31 01:19:18.048","ATLAS_Bot1","","","2024TNSTR5168....1T","","",""
"170005","AT 2024agft","05:44:35.511","+31:56:16.50","","","","","ATLAS","ATLAS","","ATLAS","ATLAS24sch","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","18.137","orange-ATLAS","2024-12-31 10:10:56.928","ATLAS_Bot1","","","2024TNSTR5168....1T","","",""
